Report_year,mission_name,mission_station_location,name_last,name_first,title_in_report,MD,DD ,LLD,,,,,
1884,Maratha,Sirur,Bissell,n/a,NA,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Satara,Bruce,Henry J,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Satara,Bruce,Hepzibeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Sholapur,Harding,Charles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Sholapur,Gates,Lorin,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Sholapur,Harding,Elizabeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Sholapur,Gates,Francess Anna,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,n this country,Wnsor,Rchard,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,n this country,Ballantine,William,MD,FALSE,FALSE,FALSE,,,,,
1884,Maratha,n this country,Winsor,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,n this country,Smth,Maud,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Battalagundu,Chandler,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Battalagundu,Chandler,Charlotte,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Battalagundu,Chandler,Getrude,miss,FALSE,FALSE,FALSE,,,,,
1884,Madura,Battalagundu,Davasagayam,M,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Dindigul,Chester,Edward,missionary,TRUE,FALSE,FALSE,,,,,
1884,Madura,Dindigul,Chester,Sophia,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Dindigul,Boiton,J,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Dindigul,Clark,A,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Jones,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Capron,Sarah,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Jones,Sarah,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Swift,Eva,miss,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Rowland,A.G.,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Madura,Cornelius,J,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mandapasalai,Howland,William,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mandapasalai,Howland,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mandapasalai,Christian,D ,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mandapasalai,Eames,M,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mandapasalai,Thomas,M,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mana Madura,Burnell,Albert,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Mana Madura,Burnell,Abbie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Melur,Gutterson,George,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Melur,Gutterson,Emma,miss,FALSE,FALSE,FALSE,,,,,
1884,Madura,Pausamalai,Washburn,George,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Pausamalai,Chandler,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Pausamalai,Washburn,Eliza,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Pausamalai,Chandler,Jennie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Pausamalai,Barnes,A,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Periakulam,Noyes,Joseph,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Periakulam,Noyes,Martha,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Periakulam,Issac,S,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Periakulam,Williams,C,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Periakulam,Seymour,E,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Palani,Hazen,Henry,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Palani,Hazen,Hattie  ,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,Palani,Yethamattu,C.D.,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Madura,Tirumanglam,Tracy,James,missionary,FALSE,FALSE,FALSE,,,,,
1884,Madura,Tirumanglam,Tracy,Fannie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,In this country,Herrick,James,n/a,FALSE,FALSE,FALSE,,,,,
1884,Madura,In this country,Herrick,Elizabeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Madura,In this country,Randall,Henrietta,miss,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Batticotta,Hastings,Eurotas,missionary,FALSE,TRUE,FALSE,,,,,
1884,Ceylon ,Batticotta,Hastings,Anna,mrs,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Batticotta,Hatings,Kate,miss,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Batticotta,Rice,B.H.,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Batticotta,Bryant,A,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Batticotta,John ,S,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Chavagacherry,Howland,Samuel W,missionary,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Chavagacherry,Howland,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Chavagacherry,Hunt,T.P.,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Ceylon ,Manepy,Howland,n/a,NA,FALSE,FALSE,FALSE,,,,,
